attention,meditation,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
30,81,210,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,234,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,104,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-119,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,77,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,114,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,212,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,212,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-10,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-33,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,309,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,309,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,295,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,295,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,181,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-203,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-203,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-164,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,28,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,28,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,163,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,163,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-1,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-173,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,7,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,7,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,88,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,197,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-161,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-24,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-86,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-86,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,2,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,2,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,205,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,165,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-100,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-52,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-52,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,103,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,258,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,258,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,258,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,4,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,4,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-92,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,40,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,139,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,171,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,171,871720,227180,157104,11446,27756,43857,3487,546355,0,0
41,77,216,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-84,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-161,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,35,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,35,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,205,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,189,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-106,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-106,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-24,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,192,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,192,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,243,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,8,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,8,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-100,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,6,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,6,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,107,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,195,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,195,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-71,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-57,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-57,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,116,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,116,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,274,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,128,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,137,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-123,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-2,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,118,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,118,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,226,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-51,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,330,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,72,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,129,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,129,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,161,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,99,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-162,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,121,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-42,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,85,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,85,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,153,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-87,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-87,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-259,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-259,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,-21,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,176,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,176,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,53,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,53,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,3,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,3,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,140,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
41,77,315,1220734,75442,64439,24124,31830,66384,3074,540450,0,0
48,78,123,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-33,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,245,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,115,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-130,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-9,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-9,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,86,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,200,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,68,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,68,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-177,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,194,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,338,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,387,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,161,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,161,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-203,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-188,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,72,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,72,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,155,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,155,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,83,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-147,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-147,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,6,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,58,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,216,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,216,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,65,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,65,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-72,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-19,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,173,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,173,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,205,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-129,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-129,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-93,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-150,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,72,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,209,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,240,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,100,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-136,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,237,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,43,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,139,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,217,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-2,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-2,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-77,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-77,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-7,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,198,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,198,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,180,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-129,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-129,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
48,78,-41,2183507,95114,79415,26193,16411,39077,2844,630904,0,0
53,61,-82,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,21,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,97,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,97,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,247,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,49,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,49,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-83,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,44,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,167,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,167,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,284,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-55,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-55,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-55,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-107,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,84,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,199,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,153,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,88,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-139,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-55,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-55,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,118,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-23,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,234,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,40,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-73,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-73,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,43,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,184,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,184,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,204,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,80,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-135,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-102,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,86,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,68,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,192,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,50,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,50,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,-129,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,8,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,8,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,121,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,204,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,204,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
53,61,10,1056940,218465,22409,10955,16349,81973,1161,638718,0,0
